iter	RMSE
0	2.49979757
1	2.486866608
2	2.472035974
3	2.46013805
4	2.442914478
5	2.429202036
6	2.42016006
7	2.408777231
8	2.395459705
9	2.382973381
10	2.373575627
11	2.360367283
12	2.351378147
13	2.338238907
14	2.324311922
15	2.313229095
16	2.301665059
17	2.28831596
18	2.275846011
19	2.267086621
20	2.255287995
21	2.247739962
22	2.241049003
23	2.226498164
24	2.218714863
25	2.208821177
26	2.201729051
27	2.193689474
28	2.182192072
29	2.174293799
30	2.167557067
31	2.161169253
32	2.151240061
33	2.145451138
34	2.136884668
35	2.128867323
36	2.120819931
37	2.119056682
38	2.117252612
39	2.11039071
40	2.100939853
41	2.090318883
42	2.084103003
43	2.075414227
44	2.069231398
45	2.06199483
46	2.054057842
47	2.045544796
48	2.038089761
49	2.028915736
50	2.021317715
51	2.011303169
52	2.003306897
53	1.997110106
54	1.993383093
55	1.98850445
56	1.980307584
57	1.975826301
58	1.972528845
59	1.964707955
60	1.95727288
61	1.951381351
62	1.946590249
63	1.938081024
64	1.926797511
65	1.922014377
66	1.917194682
67	1.910127144
68	1.904733963
69	1.900621939
70	1.892827959
71	1.885851
72	1.881058527
73	1.879073484
74	1.874405687
75	1.870310548
76	1.86625402
77	1.856370378
78	1.851199845
79	1.846055828
80	1.838046869
81	1.833301268
82	1.826673836
83	1.820903518
84	1.816545251
85	1.810731079
86	1.803246293
87	1.795848705
88	1.791166442
89	1.7827663
90	1.775630201
91	1.772225125
92	1.767549642
93	1.761920739
94	1.75497809
95	1.748688129
96	1.746546475
97	1.74173019
98	1.738458616
99	1.734067012
100	1.728237758
101	1.723235008
102	1.720015113
103	1.717223782
104	1.711273161
105	1.704178725
106	1.700132449
107	1.695282815
108	1.690068901
109	1.686975805
110	1.683078359
111	1.678432905
112	1.670640842
113	1.667394966
114	1.66274687
115	1.660025783
116	1.653127516
117	1.647226956
118	1.640718284
119	1.637577732
120	1.633417249
121	1.630311548
122	1.626625074
123	1.620238235
124	1.617725309
125	1.61252022
126	1.607652622
127	1.60422778
128	1.599201166
129	1.593617197
130	1.590441039
131	1.586064736
132	1.582516089
133	1.577451329
134	1.574860979
135	1.571198336
136	1.56542042
137	1.560078103
138	1.556082682
139	1.551075936
140	1.546731534
141	1.541752676
142	1.538716926
143	1.534815798
144	1.528071697
145	1.524550829
146	1.520632291
147	1.520024207
148	1.515645347
149	1.513112189
150	1.510245769
151	1.503606926
152	1.499955084
153	1.496335495
154	1.49337141
155	1.491480871
156	1.485621559
157	1.483247154
158	1.48113643
159	1.478788924
160	1.475727539
161	1.471343335
162	1.468923075
163	1.464827278
164	1.46271116
165	1.460869085
166	1.456705667
167	1.451960718
168	1.447810914
169	1.444881947
170	1.439283165
171	1.434838874
172	1.43242379
173	1.427652709
174	1.423397021
175	1.421261888
176	1.416592288
177	1.413080196
178	1.408311083
179	1.404923319
180	1.401262527
181	1.398793701
182	1.394510494
183	1.391232446
184	1.386185471
185	1.381845502
186	1.377376053
187	1.371621653
188	1.369057794
189	1.366118238
190	1.362720259
191	1.360155329
192	1.358549465
193	1.356038238
194	1.353784987
195	1.352220486
196	1.349801493
197	1.344269825
198	1.341772834
199	1.337632053
200	1.335588218
201	1.330548284
202	1.327650583
203	1.324874487
204	1.321987117
205	1.317090597
206	1.313403019
207	1.311684774
208	1.309130129
209	1.307578875
210	1.304394818
211	1.30137942
212	1.298119428
213	1.294035977
214	1.290973708
215	1.287841353
216	1.28389052
217	1.281421403
218	1.276842044
219	1.273083844
220	1.269109562
221	1.265467124
222	1.262426148
223	1.259736137
224	1.258103998
225	1.255922875
226	1.252351303
227	1.250245854
228	1.248130878
229	1.246117614
230	1.243472279
231	1.242453155
232	1.237618678
233	1.236358011
234	1.233701516
235	1.229740299
236	1.224632252
237	1.221062453
238	1.217582435
239	1.213442808
240	1.210786059
241	1.209120245
242	1.205832123
243	1.204245192
244	1.199230459
245	1.195800488
246	1.192898515
247	1.189645109
248	1.185880532
249	1.182050142
250	1.178582605
251	1.177126032
252	1.174475325
253	1.171318617
254	1.168630146
255	1.167377206
256	1.164324472
257	1.161529125
258	1.160559676
259	1.15750697
260	1.152881156
261	1.150156401
262	1.147118192
263	1.14280642
264	1.139849927
265	1.137015637
266	1.13354555
267	1.131577308
268	1.128469934
269	1.12538427
270	1.122374556
271	1.119640304
272	1.116865263
273	1.113722139
274	1.111505087
275	1.108635745
276	1.105886181
277	1.103642246
278	1.101007952
279	1.097724259
280	1.095130308
281	1.092643393
282	1.091677986
283	1.087493885
284	1.083467765
285	1.079593069
286	1.076972123
287	1.075010178
288	1.07298119
289	1.070160471
290	1.068448756
291	1.066726367
292	1.063040654
293	1.061183863
294	1.059763224
295	1.057258441
296	1.05514929
297	1.05342841
298	1.050799207
299	1.047325303
300	1.04419173
301	1.0416364
302	1.039614903
303	1.038039464
304	1.036312764
305	1.033898674
306	1.031822986
307	1.030763353
308	1.028089063
309	1.027268344
310	1.025192977
311	1.022963436
312	1.021590562
313	1.018614119
314	1.018055452
315	1.016047136
316	1.014002717
317	1.012061034
318	1.010261223
319	1.008488025
320	1.005666039
321	1.003464176
322	1.001935918
323	0.9989996511
324	0.9963446741
325	0.9957356995
326	0.9931702161
327	0.9910145823
328	0.9888428194
329	0.9867938967
330	0.9853242654
331	0.9847449258
332	0.9823240907
333	0.9810916351
334	0.9787977526
335	0.9768594715
336	0.9740114729
337	0.9726523607
338	0.9710397598
339	0.9700107577
340	0.9686270774
341	0.9668957171
342	0.965350826
343	0.9638574935
344	0.9622807267
345	0.9615428349
346	0.9587821907
347	0.9561036916
348	0.9532567684
349	0.950624197
350	0.9494683598
351	0.9480505539
352	0.9446815552
353	0.9430180595
354	0.9412580452
355	0.9401407538
356	0.9368646594
357	0.9349628889
358	0.9343265975
359	0.9327882294
360	0.9311157182
361	0.9300877156
362	0.9279522575
363	0.9271048459
364	0.9257825531
365	0.9235014292
366	0.9206425724
367	0.9184547274
368	0.91680484
369	0.914368592
370	0.9135522821
371	0.9117285247
372	0.9100977264
373	0.9086223408
374	0.9075563035
375	0.9063873953
376	0.9056081204
377	0.9050147962
378	0.9015633488
379	0.8988409225
380	0.8976289224
381	0.8965836576
382	0.8957841759
