iter	Passed	Remaining
0	142	142156
1	144	71965
2	146	48565
3	147	36845
4	149	29803
5	151	25101
6	152	21598
7	154	19111
8	155	17167
9	157	15623
10	159	14355
11	161	13303
12	163	12407
13	165	11629
14	166	10956
15	169	10412
16	171	9918
17	173	9463
18	178	9202
19	181	8872
20	183	8535
21	185	8234
22	187	7949
23	189	7687
24	192	7516
25	195	7317
26	197	7108
27	200	6973
28	203	6799
29	206	6674
30	209	6550
31	211	6399
32	214	6281
33	216	6145
34	218	6026
35	222	5966
36	225	5859
37	226	5721
38	226	5584
39	228	5495
40	230	5401
41	234	5345
42	236	5273
43	239	5196
44	241	5126
45	243	5055
46	245	4982
47	249	4947
48	252	4892
49	254	4830
50	256	4774
51	258	4713
52	260	4658
53	265	4648
54	267	4591
55	269	4543
56	271	4493
57	273	4446
58	277	4420
59	280	4387
60	282	4343
61	285	4311
62	286	4266
63	288	4225
64	292	4205
65	294	4174
66	296	4135
67	299	4104
68	301	4065
69	303	4029
70	306	4013
71	309	3989
72	311	3957
73	314	3931
74	316	3907
75	321	3910
76	324	3887
77	326	3857
78	328	3834
79	330	3805
80	333	3778
81	337	3774
82	339	3748
83	341	3722
84	343	3699
85	345	3673
86	348	3653
87	351	3647
88	354	3625
89	356	3609
90	358	3585
91	360	3561
92	365	3569
93	368	3550
94	370	3533
95	373	3514
96	374	3490
97	377	3474
98	381	3469
99	383	3453
100	386	3437
101	388	3416
102	390	3398
103	393	3390
104	396	3380
105	398	3361
106	401	3348
107	403	3329
108	404	3310
109	408	3306
110	411	3294
111	413	3279
112	416	3265
113	418	3248
114	420	3232
115	424	3235
116	426	3220
117	428	3204
118	430	3190
119	432	3174
120	435	3165
121	439	3161
122	441	3148
123	444	3139
124	446	3124
125	448	3109
126	454	3121
127	456	3111
128	458	3098
129	461	3086
130	463	3073
131	466	3070
132	469	3060
133	471	3048
134	474	3038
135	476	3026
136	478	3012
137	481	3008
138	484	3001
139	486	2988
140	489	2981
141	491	2969
142	493	2958
143	497	2957
144	499	2946
145	501	2934
146	504	2925
147	504	2906
148	506	2894
149	510	2893
150	513	2884
151	515	2874
152	519	2877
153	527	2898
154	533	2908
155	539	2920
156	543	2920
157	548	2923
158	554	2934
159	558	2933
160	561	2924
161	564	2920
162	570	2927
163	574	2926
164	577	2923
165	579	2912
166	581	2902
167	586	2903
168	589	2896
169	592	2894
170	595	2885
171	597	2874
172	600	2869
173	604	2870
174	607	2861
175	609	2851
176	611	2841
