iter	RMSE
0	2.61671963
1	2.563780137
2	2.507426317
3	2.46361698
4	2.408808904
5	2.36323256
6	2.320103993
7	2.274353174
8	2.229989995
9	2.189792815
10	2.148510507
11	2.108777175
12	2.067329547
13	2.030323934
14	1.995884652
15	1.958636865
16	1.923728268
17	1.890268452
18	1.864543091
19	1.832019423
20	1.799262169
21	1.773088748
22	1.746221932
23	1.720042775
24	1.692503078
25	1.671849735
26	1.649774701
27	1.629025301
28	1.605825152
29	1.584022117
30	1.56666209
31	1.551086302
32	1.534089366
33	1.514960166
34	1.499709051
35	1.484843909
36	1.470571107
37	1.45477523
38	1.442293832
39	1.427588155
40	1.412438917
41	1.399543477
42	1.385990527
43	1.374745175
44	1.36238487
45	1.349879008
46	1.339077139
47	1.329334155
48	1.318456418
49	1.309184639
50	1.299403811
51	1.291507929
52	1.282392007
53	1.27502666
54	1.265686152
55	1.256768827
56	1.248455171
57	1.241433127
58	1.235621578
59	1.228319551
60	1.222072335
61	1.214979837
62	1.209373855
63	1.202475542
64	1.198827641
65	1.191705594
66	1.185596452
67	1.180056556
68	1.175086647
69	1.171451072
70	1.169422947
71	1.163938521
72	1.160111313
73	1.155141069
74	1.151643551
75	1.148521266
76	1.144054847
77	1.139681955
78	1.136548295
79	1.131579502
80	1.126539232
81	1.123239225
82	1.11963536
83	1.116107723
84	1.112810894
85	1.109866379
86	1.105618626
87	1.10302496
88	1.098726536
89	1.093804841
90	1.091142446
91	1.08875535
92	1.085837356
93	1.082492112
94	1.079404656
95	1.075652347
96	1.072697156
97	1.068954764
98	1.065407947
99	1.061724574
100	1.058811089
101	1.056311638
102	1.053654688
103	1.050230024
104	1.047815633
105	1.045826048
106	1.043941765
107	1.041970166
108	1.03990899
109	1.036271626
110	1.034778869
111	1.031842608
112	1.030044741
113	1.027452485
114	1.024443157
115	1.021571233
116	1.018700955
117	1.017008413
118	1.015283425
119	1.013924805
120	1.011751845
121	1.009286668
122	1.006684229
123	1.004628828
124	1.001886717
125	0.9984501423
126	0.9955825403
127	0.9938306727
128	0.9916183481
129	0.9889521846
130	0.9878924019
131	0.9870375661
132	0.9853367797
133	0.982893881
