iter	Passed	Remaining
0	134	134442
1	142	70926
2	157	52322
3	164	41023
4	170	33925
5	176	29244
6	182	25832
7	187	23197
8	205	22574
9	215	21286
10	221	19924
11	231	19090
12	244	18552
13	249	17562
14	254	16689
15	260	16015
16	265	15374
17	271	14796
18	278	14369
19	286	14044
20	295	13784
21	302	13449
22	311	13246
23	316	12878
24	328	12828
25	333	12509
26	342	12326
27	348	12091
28	356	11927
29	361	11676
30	365	11436
31	373	11284
32	377	11073
33	382	10873
34	389	10744
35	398	10682
36	405	10558
37	410	10390
38	415	10231
39	422	10137
40	427	10001
41	432	9864
42	439	9788
43	444	9661
44	453	9630
45	458	9513
46	463	9401
47	470	9334
48	475	9232
49	480	9131
50	487	9065
51	492	8969
52	496	8877
53	503	8827
54	508	8744
55	515	8695
56	521	8619
57	526	8543
58	532	8495
59	537	8420
60	542	8350
61	566	8571
62	571	8496
63	576	8424
64	583	8396
65	590	8350
66	614	8562
67	619	8494
68	625	8443
69	633	8411
70	635	8314
71	641	8266
72	648	8238
73	656	8213
74	661	8161
75	669	8135
76	674	8079
77	679	8036
78	693	8085
79	698	8033
80	706	8020
81	710	7951
82	718	7943
83	727	7928
84	734	7909
85	739	7863
86	745	7818
87	763	7907
88	773	7914
89	778	7867
90	785	7845
91	790	7799
92	795	7756
93	802	7734
94	807	7690
95	812	7648
96	819	7628
97	824	7588
98	831	7563
99	836	7524
100	844	7513
101	851	7493
102	856	7461
103	864	7448
104	869	7410
105	874	7372
106	882	7367
107	887	7330
108	892	7296
109	899	7279
110	903	7239
111	908	7205
112	916	7190
113	920	7157
114	926	7126
115	932	7105
116	936	7064
117	941	7035
118	949	7026
119	955	7009
120	963	6996
121	968	6966
122	974	6949
123	982	6937
124	987	6911
125	1001	6950
126	1007	6923
127	1015	6917
128	1020	6889
129	1031	6905
130	1036	6878
131	1043	6863
132	1048	6835
133	1054	6816
134	1062	6807
135	1069	6793
136	1076	6779
137	1081	6754
138	1086	6730
139	1093	6718
140	1098	6692
141	1103	6667
142	1110	6654
143	1115	6630
144	1120	6605
145	1127	6595
146	1132	6572
147	1139	6562
148	1145	6540
149	1150	6520
150	1159	6517
151	1168	6519
152	1173	6496
153	1180	6487
154	1185	6465
155	1191	6444
156	1198	6435
157	1203	6415
158	1215	6429
159	1221	6412
160	1240	6464
161	1247	6453
162	1252	6430
163	1257	6408
164	1263	6393
165	1268	6373
166	1286	6414
167	1293	6406
168	1298	6385
169	1303	6365
170	1311	6355
171	1315	6335
172	1324	6331
173	1329	6313
174	1335	6294
175	1342	6285
176	1347	6266
177	1352	6247
178	1378	6323
179	1383	6303
180	1391	6294
181	1396	6277
182	1401	6257
183	1409	6250
184	1420	6256
185	1425	6237
186	1430	6218
187	1437	6207
188	1443	6193
189	1462	6233
190	1467	6216
191	1473	6200
192	1478	6181
193	1485	6171
194	1490	6153
195	1502	6164
196	1508	6148
197	1514	6132
198	1522	6126
199	1527	6110
200	1535	6102
201	1540	6086
202	1586	6229
203	1592	6212
204	1600	6205
205	1606	6191
206	1612	6176
207	1641	6251
208	1649	6243
209	1654	6224
210	1659	6207
211	1666	6195
212	1672	6178
213	1683	6182
214	1689	6166
215	1701	6174
216	1706	6155
217	1710	6137
218	1725	6154
219	1734	6148
220	1739	6130
221	1743	6111
222	1749	6094
223	1754	6076
224	1778	6125
225	1783	6106
226	1787	6087
227	1794	6077
228	1800	6061
229	1806	6047
230	1831	6097
231	1836	6079
232	1843	6069
233	1848	6051
234	1853	6033
235	1860	6022
236	1871	6026
237	1879	6016
238	1883	5998
239	1888	5980
240	1896	5972
241	1901	5954
242	1907	5942
243	1920	5950
244	1927	5940
245	1932	5924
246	1939	5912
247	1944	5895
248	1952	5890
249	1960	5880
250	1964	5863
251	1969	5846
252	1976	5836
253	1981	5819
254	1986	5804
255	1998	5806
256	2005	5796
257	2010	5781
258	2015	5765
259	2022	5755
260	2027	5739
261	2031	5723
262	2044	5728
263	2049	5713
264	2056	5703
265	2070	5714
266	2075	5698
267	2081	5685
268	2088	5674
269	2093	5659
270	2097	5643
271	2105	5634
272	2109	5618
273	2120	5618
274	2125	5603
275	2130	5588
276	2137	5580
277	2142	5564
278	2147	5549
279	2154	5539
280	2158	5522
281	2161	5503
282	2167	5492
283	2171	5474
284	2175	5457
285	2178	5439
286	2185	5430
287	2190	5416
288	2198	5408
289	2203	5394
290	2208	5380
291	2220	5383
292	2225	5370
293	2232	5361
294	2237	5348
295	2246	5343
296	2251	5330
297	2256	5316
298	2268	5317
299	2273	5304
300	2280	5294
301	2285	5281
302	2291	5270
303	2298	5263
304	2310	5265
305	2316	5253
306	2321	5240
307	2332	5241
308	2337	5227
309	2347	5225
310	2352	5211
311	2357	5199
312	2363	5187
313	2368	5174
314	2379	5175
315	2385	5162
316	2396	5164
317	2402	5151
318	2409	5143
319	2414	5130
320	2419	5116
321	2426	5108
322	2431	5095
323	2438	5087
324	2443	5074
325	2448	5062
326	2455	5053
327	2460	5040
328	2465	5027
329	2474	5023
330	2478	5010
331	2484	4998
332	2496	4999
333	2503	4991
334	2508	4979
335	2513	4967
336	2523	4964
337	2528	4952
338	2535	4944
339	2540	4932
340	2545	4918
341	2551	4909
342	2557	4898
343	2562	4885
344	2568	4877
345	2573	4865
346	2578	4853
